AGAF|Afutara Airport|Afutara
ETHC|Celle Air Base|Celle
ETHE|Rheine-Bentlage Air Base|Rheine
ETHF|Fritzlar Air Base|Fritzlar
ETHL|Laupheim Air Base|Laupheim
ETHM|Mendig Air Base|Niedermendig
ETHR|Roth Air Base|Roth
ETHS|Faßberg Air Base|Faßberg
ETHT|Cottbus Air Base|Cottbus
ETIN|Kitzingen Airport (former Kitzingen Army Airfield, closed in 2007)|Kitzingen, Bavaria
ETMN|Nordholz Naval Air Station|Nordholz
ETND|Diepholz Air Base|Diepholz
ETNG|NATO Air Base Geilenkirchen|Geilenkirchen
ETNH|Hohn Air Base|Hohn
ETNJ|Jever Air Base|Schortens
ETNK - Wahn Air Base military part of Cologne Bonn Airport|Cologne/Bonn|
ETNL|Rostock Laage Airport|Rostock
ETNN|Nörvenich Air Base|Nörvenich
ETNP|Rheine-Hopsten Air Base|Rheine
ETNS|Schleswig Air Base|Schleswig
ETNT|Wittmundhafen Air Base|Wittmund
ETNU|Neubrandenburg Airport|Neubrandenburg
ETNW|Wunstorf Air Base|Wunstorf
ETOR|Coleman Army Airfield|Mannheim
ETOU|Wiesbaden Army Airfield|Wiesbaden
ETSA|Landsberg-Lech Air Base|Landsberg am Lech
ETSB|Büchel Air Base|Büchel / Cochem
ETSE|Erding Air Base|Erding
ETSF|Fürstenfeldbruck Air Base|Fürstenfeldbruck
ETSH|Holzdorf Air Base|Jessen (Elster)
ETSI|Ingolstadt Manching Airport|Ingolstadt
ETSL|Lechfeld Air Base|Lechfeld
ETUL|RAF Laarbruch|Weeze (closed in 1999, now Weeze Airport, NRN/EDLV)
ETUO|RAF Gütersloh|Gütersloh (closed in 1993)
ETUR|RAF Brüggen|Brüggen (closed in 2001)
ETWM|Meppen Air Base|Meppen
EECL|Linnahall Heliport|Tallinn
EEEI|Ämari Air Base|Ämari
EEHU|Haapsalu Airfield|Haapsalu
EEJI|Jõhvi Airfield|Jõhvi
EEKA|Kärdla Airport|Kärdla
EEKE|Kuressaare Airport|Kuressaare
EEKU|Kihnu Airfield|Kihnu
EELU|Lyckholm Airfield|Saare
EENI|Nurmsi Airfield|Nurmsi
EENA|Narva Airfield|Narva
EEPR|Piirissaare Airfield|Piirissaar
EEPU|Pärnu Airport|Pärnu
EERA|Rapla Airfield|Rapla
EERI|Ridali Airfield|Ridali
EERU|Ruhnu Airfield|Ruhnu
EETA|Tapa Airfield|Tapa
EETN|Lennart Meri Tallinn Airport|Tallinn
EETR|Raadi Airfield|Tartu
EETU|Tartu Airport|Tartu
EEVI|Viljandi Airfield|Viljandi
EFAH|Ahmosuo Airport|Oulu
EFAL|Alavus Airport|Alavus
EFET|Enontekiö Airport|Enontekiö
EFEU|Eura Airport|Eura
EFFO|Forssa Airport|Forssa
EFHA|Halli Airport|Kuorevesi
EFHE|Hernesaari Heliport|Helsinki
EFHF|Helsinki-Malmi Airport|Helsinki
EFHK|Helsinki-Vantaa Airport|Vantaa
EFHM|Hämeenkyrö Airport|Hämeenkyrö
EFHN|Hanko Airport (Hangö Airport)|Hanko (Hangö)
EFHV|Hyvinkää Airport|Hyvinkää
EFIK|Kiikala Airport|Kiikala
EFIL|Seinäjoki Airport|Seinäjoki / Ilmajoki
EFIM|Immola Airport|Imatra
EFIT|Kitee Airport|Kitee
EFIV|Ivalo Airport|Ivalo / Inari
EFJM|Jämijärvi Airport|Jämijärvi
EFJO|Joensuu Airport|Joensuu / Liperi
EFJY|Jyväskylä Airport|Jyväskylän maalaiskunta
EFKA|Kauhava Airport|Kauhava
EFKE|Kemi-Tornio Airport|Kemi / Tornio
EFKI|Kajaani Airport|Kajaani
EFKJ|Kauhajoki Airport|Kauhajoki
EFKK|Kokkola-Pietarsaari Airport|Kronoby
EFKM|Kemijärvi Airport|Kemijärvi
EFKO|Kalajoki Airport|Kalajoki
EFKS|Kuusamo Airport|Kuusamo
EFKT|Kittilä Airport|Kittilä
EFKU|Kuopio Airport|Kuopio / Siilinjärvi
EFKV|Kivijärvi Airport|Kivijärvi
EFKY|Kymi Airport|Kymi
EFLA|Vesivehmaa Airport|Lahti
EFLP|Lappeenranta Airport|Lappeenranta
EFMA|Mariehamn Airport|Mariehamn
EFME|Menkijärvi Airport|Alajärvi
EFMI|Mikkeli Airport|Mikkeli
EFNU|Nummela Airport|Nummela
EFOU|Oulu Airport|Oulunsalo
EFPI|Piikajärvi Airport|Kokemäki
EFPK|Pieksämäki Airport|Pieksämäki
EFPO|Pori Airport|Pori
EFPU|Pudasjärvi Airport|Pudasjärvi
EFPY|Pyhäsalmi Airport|Pyhäsalmi
EFRH|Pattijoki Airport|Raahe
EFRN|Rantasalmi Airport|Rantasalmi
EFRO|Rovaniemi Airport|Rovaniemi
EFRU|Ranua Airport|Ranua
EFRV|Kiuruvesi Airport|Kiuruvesi
EFRY|Räyskälä Airport|Loppi
EFSA|Savonlinna Airport|Savonlinna
EFSE|Selänpää Airport|Kouvola
EFSI|Seinajoki Airport|Seinajoki
EFSO|Sodankylä Airport|Sodankylä
EFTP|Tampere-Pirkkala Airport|Tampere / Pirkkala
EFTS|Teisko Airport|Tampere
EFTU|Turku Airport|Turku
EFUT|Utti Airport|Utti / Valkeala
EFVA|Vaasa Airport|Vaasa
EFVR|Varkaus Airport|Varkaus / Joroinen
EFYL|Ylivieska Airport|Ylivieska
EGAA|Belfast International Airport|Belfast, Northern Ireland
EGAB|Enniskillen/St Angelo Airport|Enniskillen, Northern Ireland
EGAC|George Best Belfast City Airport|Belfast, Northern Ireland
EGAD|Newtownards Airport|Newtownards, Northern Ireland
EGAE|City of Derry Airport|Derry, Northern Ireland
EGAR|Rothera Research Station|Adelaide Island, Antarctica
EGBB|Birmingham Airport|Birmingham, England
EGBC|Cheltenham Racecourse Heliport|Cheltenham Racecourse, England
EGBD|Derby Airfield|Derby, England
EGBE|Coventry Airport|Coventry, England
EGBF|Bedford Aerodrome|Thurleigh, England
EGBG|Leicester Airport|Leicester, England
EGBJ|Gloucestershire Airport|Staverton, England
EGBK|Sywell Aerodrome|Northampton, England
EGBM|Tatenhill Airfield|Tatenhill, England
EGBN|Nottingham Airport|Nottingham, England
EGBO|Wolverhampton Airport|Wolverhampton, England
EGBP|Cotswold Airport|Kemble, England
EGBS|Shobdon Aerodrome|Leominster, England
EGBT|Turweston Aerodrome|Turweston, England
EGBV|Silverstone Heliport|Silverstone, England
EGBW|Wellesbourne Mountford Airfield|Wellesbourne, England
EGCA|Coal Aston Airfield|Coal Aston, England
EGCB|City Airport Manchester|Manchester, England
EGCC|Manchester Airport|Manchester, England
EGCF|Sandtoft Airfield|Scunthorpe, England
EGCG|Strubby Airfield|Strubby, England
EGCJ|Sherburn-in-Elmet Airfield|Sherburn-in-Elmet, England
EGCK|Caernarfon Airport|Caernarfon, Wales
EGCL|Fenland Airfield|Spalding, England
EGCN|Robin Hood Airport Doncaster Sheffield|South Yorkshire, England
EGCO|Southport Birkdale Sands Airport|Southport, England
EGCR|Ashcroft Airfield|Winsford, England
EGCS|Sturgate Airfield|Lincoln, England
EGCV|Sleap Airfield|Shrewsbury, England
EGCW|Welshpool Airport|Welshpool, Wales
EGDC|Royal Marines Base Chivenor|Braunton, England
EGDI|RAF Merryfield|Ilminster, England
EGDJ|Upavon Airfield|Upavon, England
EGDL|RAF Lyneham|Wiltshire, England
EGDM|MoD Boscombe Down|Amesbury, England
EGDN|Netheravon Airfield|Netheravon, England
EGDR|RNAS Culdrose|Helston, England
EGDS|Salisbury Plain Airport|Bulford, England
EGDT|Wroughton Airport|Wroughton, England
EGDV|Hullavington Airport|Hullavington, England
EGDW|RNAS Merryfield|Yeovil, England
EGDX|MoD Saint Athan|St Athan, Wales
EGDY|RNAS Yeovilton|Yeovil, England
EGEA|Aberdeen (Culter Helipad)|Aberdeen, Scotland
EGEC|Campbeltown Airport|Campbeltown, Scotland
EGED|Eday Airport|Eday, Scotland
EGEF|Fair Isle Airport|Fair Isle, Scotland
EGEH|Whalsay Airport|Whalsay, Scotland
EGEL|Coll Airport|Isle of Coll, Scotland
EGEN|North Ronaldsay Airport|North Ronaldsay, Scotland
EGEO|Oban Airport|Oban, Scotland
EGEP|Papa Westray Airport|Papa Westray, Scotland
EGER|Stronsay Airport|Stronsay, Scotland
EGES|Sanday Airport|Sanday, Scotland
EGET|Tingwall Airport|Lerwick, Scotland
EGEW|Westray Airport|Westray, Scotland
EGEY|Colonsay Airport|Colonsay, Scotland
EGFA|Aberporth Airport|Cardigan, Wales
EGFC|Cardiff Heliport|Cardiff, Wales
EGFE|Haverfordwest Aerodrome|Haverfordwest, Wales
EGFF|Cardiff International Airport|Cardiff, Wales
EGFH|Swansea Airport|Swansea, Wales
EGFP|Pembrey Airport|Pembrey, Wales
EGGD|Bristol Airport|Bristol, England
EGGP|Liverpool John Lennon Airport|Liverpool, England
EGGW|London Luton Airport|London, England
EGHA|Compton Abbas Airfield|Shaftesbury, England
EGHB|Maypole Airfield|Maypole, Kent, England
EGHC|Land's End Airport|St Just in Penwith, England
EGHD|Plymouth City Airport|Plymouth, England (closed 2011)
EGHE|St. Mary's Airport|St. Mary's, England
EGHF|Lee on Solent (was RNAS Lee-on-Solent (HMS Daedalus))|Lee-on-the-Solent, England
EGHG|Yeovil/Westland Airport|Yeovil, England
EGHH|Bournemouth Airport|Bournemouth, England
EGHI|Southampton Airport|Southampton, England
EGHJ|Bembridge Airport|Sandown, England
EGHK|Penzance Heliport|Penzance, England
EGHL|Lasham Airfield|Basingstoke, England
EGHN|Isle of Wight/Sandown Airport|Sandown, England
EGHO|Thruxton Aerodrome|Andover, England
EGHP|Popham Airfield|Popham, England
EGHQ|Newquay Cornwall Airport|St Mawgan, Cornwall, England
EGHR|Chichester (Goodwood) Airfield|Chichester, West Sussex, England
EGHS|Henstridge Airfield|Henstridge, England
EGHT|Tresco Heliport|Tresco, England
EGHU|Eaglescott Airfield|Great Torrington, England
EGHY|Truro Aerodrome|Truro, England
EGJA|Alderney Airport|Alderney, Channel Islands
EGJB|Guernsey Airport|Guernsey, Channel Islands
EGJJ|Jersey Airport|Jersey, Channel Islands
EGKA|Shoreham Airport|Shoreham-by-Sea, England
EGKB|London Biggin Hill Airport|London, England
EGKE|Challock Airport|Challock, England
EGKF|RNAS Ford (closed)|Ford, England
EGKG|Goodwood Racecourse Heliport|Goodwood Racecourse, England
EGKH|Lashenden/Headcorn Airport|Maidstone, England
EGKK|London Gatwick Airport|London, England
EGKL|Deanland (was RAF Deanland)|Lewes, England
EGKR|Redhill Aerodrome|Redhill, England
EGLA|Bodmin Airfield|Bodmin, England
EGLC|London City Airport|London, England
EGLD|Denham Aerodrome|Gerrards Cross, England
EGLF|Farnborough Airfield|Farnborough, England
EGLG|Panshanger Airport|Hertford, England
EGLJ|Chalgrove Airfield|Oxford, England
EGLK|Blackbushe Airport|Camberley, England
EGLL|London Heathrow Airport|London, England
EGLM|White Waltham Airfield|White Waltham, England
EGLP|Brimpton (Wasing Lower Farm)|Upper Bucklebury
EGLS|Old Sarum Airfield|Salisbury, England
EGLT|Ascot Racecourse Heliport|Ascot Racecourse, England
EGLW|London Heliport|London, England
EGMA|Fowlmere Airport|Cambridge, England
EGMC|London Southend Airport|Southend-on-Sea, England
EGMD|London Ashford Airport|Lydd, England
EGMF|Farthing Corner|Rainham, England
EGMH|Kent International Airport|Ramsgate, England
EGMJ|Little Gransden Airfield|St Neots, England
EGML|Damyns Hall Aerodrome|Upminster, England
EGMT|Thurrock Aerodrome|Thurrock, England
EGNA|Hucknall Airfield|Nottingham, England
EGNB|Brough Aerodrome|Brough, England
EGNC|Carlisle Lake District Airport|Carlisle, England
EGNE|Gamston Airport|Retford, England
EGNF|Netherthorpe Airfield|Worksop, England
EGNG|Bagby airfield|Bagby, England
EGNH|Blackpool International Airport|Blackpool, England
EGNJ|Humberside Airport|Kingston upon Hull, England
EGNL|Barrow/Walney Island Airfield|Barrow-in-Furness, England
EGNM|Leeds Bradford International Airport|West Yorkshire, England
EGNO|Warton Aerodrome|Warton, Lancashire, England
EGNR|Hawarden Airport|Chester, England
EGNS|Isle of Man Airport|Isle of Man
EGNT|Newcastle Airport|Newcastle upon Tyne, England
EGNU|Full Sutton Airfield|York, England
EGNV|Durham Tees Valley Airport|Tees Valley, England
EGNW|Wickenby Aerodrome|Lincoln, England
EGNX|East Midlands Airport|East Midlands, England
EGNY|Beverley/Linley Hill Airfield|Beverley, England
EGOD|Llanbedr Airport|Llanbedr, Wales
EGOE|RAF Ternhill|Ternhill, England
EGOQ|RAF Mona|Anglesey, Wales
EGOS|RAF Shawbury|Shawbury, England
EGOV|RAF Valley/Anglesey Airport|Anglesey, Wales
EGOW|RAF Woodvale|Formby, England
EGPA|Kirkwall Airport|Kirkwall, Scotland
EGPB|Sumburgh Airport|Shetland Islands, Scotland
EGPC|Wick Airport|Wick, Scotland
EGPD|Aberdeen Airport|Aberdeen, Scotland
EGPE|Inverness Airport|Inverness, Scotland
EGPF|Glasgow International Airport|Glasgow, Scotland
EGPG|Cumbernauld Airport|Cumbernauld, Scotland
EGPH|Edinburgh Airport|Edinburgh, Scotland
EGPI|Islay Airport|Islay, Scotland
EGPJ|Fife Airport|Glenrothes, Scotland
EGPK|Glasgow Prestwick International Airport|Glasgow, Scotland
EGPL|Benbecula Airport|Benbecula, Scotland
EGPM|Scatsta Airport|Lerwick, Scotland
EGPN|Dundee Airport|Dundee, Scotland
EGPO|Stornoway Airport|Stornoway, Scotland
EGPR|Barra Airport|Barra, Scotland
EGPT|Perth Airport (Scotland)|Perth, Scotland
EGPU|Tiree Airport|Tiree, Scotland
EGQK|RAF Kinloss|Kinloss, Scotland
EGQL|RAF Leuchars|Leuchars, Scotland
EGQM|RAF Boulmer|Alnwick, England
EGQS|RAF Lossiemouth|Lossiemouth, Scotland
EGSA|Shipdham Airport|Shipdham, England
EGSB|Bedford Castle Mill Airport|Bedford, England
EGSC|Cambridge Airport|Cambridge, England
EGSD|Great Yarmouth|North Denes Airport
EGSF|Peterborough Business Airport|Peterborough, England
EGSG|Stapleford Aerodrome|Romford, England
EGSH|Norwich International Airport|Norwich, England
EGSJ|Seething Airfield|Norwich, England
EGSL|Andrewsfield aerodrome|Braintree, England
EGSM|Beccles Airport|Beccles, England
EGSN|Bourn Airfield|Cambridge, England
EGSO|Crowfield Airfield|Ipswich, England
EGSP|Peterborough/Sibson Airport|Peterborough, England
EGSQ|Clacton Airport|Clacton-on-Sea, England
EGSR|Earls Colne Airfield|Halstead, England
EGSS|London Stansted Airport|London, England
EGST|Elmsett Airport|Ipswich, England
EGSU|Duxford|Cambridge, England
EGSV|Old Buckenham Airport|Norwich, England
EGSX|North Weald Airfield|North Weald, England
EGTA|Aylesbury Thame Airfield|Aylesbury, England
EGTB|Wycombe Air Park/Booker Airport|High Wycombe, England
EGTC|Cranfield Airport|Cranfield, England
EGTD|Dunsfold Aerodrome|Dunsfold, England
EGTE|Exeter International Airport|Exeter, England
EGTF|Fairoaks Airport|Chobham, England
EGTH|Hatfield Aerodrome (closed)|Hatfield, England
EGTK|Oxford Airport|Oxford, England
EGTN Enstone Airfield|Enstone, England|
EGTO|Rochester Airport, England|Rochester, England
EGTP|Perranporth Airfield|Perranporth, England
EGTR|Elstree Airfield|Watford, England
EGTU|Dunkeswell Aerodrome|Honiton, England
EGTW|Oaksey Park Airport|Oaksey, England
EGUB|RAF Benson|Benson, England
EGUD|RAF Abingdon|Abingdon, England
EGUL|RAF Lakenheath|Lakenheath, England
EGUN|RAF Mildenhall|Mildenhall, England
EGUO|Colerne Airfield|Colerne, England
EGUW|RAF Wattisham|Stowmarket, England
EGUY|RAF Wyton|St Ives, England
EGVA|RAF Fairford|Fairford, England
EGVL|RAF Little Rissington|Upper Rissington, England
EGVN|RAF Brize Norton|Brize Norton, England
EGVO|RAF Odiham|Odiham, England
EGVP|AAC Middle Wallop Airfield|Andover, England
EGWC|RAF Cosford|Albrighton, England
EGWE|RAF Henlow|Henlow, England
EGWN|RAF Halton|Halton, England
EGWU|RAF Northolt|Ruislip, England
EGXC|RAF Coningsby|Coningsby, England
EGXD|RAF Dishforth|North Yorkshire, England
EGXE|RAF Leeming|Leeming Bar, England
EGXG|RAF Church Fenton|Church Fenton, England
EGXH|RAF Honington|Thetford, England
EGXP|RAF Scampton|Scampton, England
EGXT|RAF Wittering|Stamford, England
EGXU|RAF Linton-on-Ouse|Linton-on-Ouse, England
EGXW|RAF Waddington|Waddington, England
EGXY|RAF Syerston|Newark-on-Trent, England
EGXZ|RAF Topcliffe|Topcliffe, England
EGYD|RAF Cranwell|Cranwell, England
EGYE|RAF Barkston Heath|Grantham, England
EGYM|RAF Marham|Marham, England
EGYP|RAF Mount Pleasant|Falkland Islands (note: not in SF.. series)
EHAL|Ameland Airport|Ballum
EHAM|Amsterdam Airport Schiphol|Haarlemmermeer, near Amsterdam
EHBD|Budel Airport|Weert
EHBK|Maastricht Aachen Airport|Beek
EHDB|KNMI|De Bilt
EHDL|Deelen Airbase|Deelen
EHDP|De Peel Airbase|Venraij
EHDR|Drachten Airfield|Drachten
EHEH|Eindhoven Airport|Eindhoven
EHGG|Groningen Airport Eelde|Eelde
EHGR|Gilze-Rijen Airbase|Gilze and Rijen
EHND|Numansdorp Airfield|Numansdorp
EHHO|Hoogeveen Airfield|Hoogeveen
EHHV|Hilversum Airport|Hilversum
EHKD|De Kooy|De Kooy
EHVK|Volkel Airbase|Uden
EHLE|Lelystad Airport|Lelystad
EHLW|Leeuwarden Air Base|Leeuwarden
EHMC|Air Operations Control Station Nieuw-Milligen|Nieuw-Milligen
EHMZ|Midden-Zeeland|Middelburg, Zeeland
EHOW|Oostwold Airport|Scheemda
EHRD|Rotterdam The Hague Airport|Rotterdam
EHSB|Soesterberg Air Base|Soesterberg (closed in 2015 as transferred into National Military Museum)
EHSE|Seppe Airport|Hoeven
EHST|Stadskanaal Airfield|Stadskanaal
EHTE|Teuge International Airport|Deventer
EHTL|Terlet Airfield|Terlet
EHTW|Enschede Airport Twente|Enschede
EHTX|Texel International Airport|Texel
EHVB|Valkenburg Airbase|Valkenburg (closed +/- 2000)
EHVE|TrafficPort Venlo|Venlo
EHWO|Woensdrecht Air Base|Woensdrecht
EHYB|Ypenburg Airport|The Hague (closed 1991)
EHYP|IJmuiden Heliport|IJmuiden
EIAB|Abbeyshrule Aerodrome|Abbeyshrule, County Longford
EIBN|Bantry Aerodrome|Bantry, County Cork
EIBR|Birr Aerodrome|Birr, County Offaly
EICA|Connemara Regional Airport|Inverin, Connemara
EICB|Castlebar Airport|Castlebar, County Mayo
EICK|Cork International Airport|Cork
EICL|Clonbullogue Aerodrome|Clonbullogue, County Offaly
EICM|Galway Airport|Carnmore, County Galway
EICN|Coonagh Airport|Limerick, County Limerick
EIDL|Donegal Airport|Carrickfinn, County Donegal
EIDW|Dublin International Airport|Dublin
EIIM|Inishmore Aerodrome (Kilronan Airport)|Kilronan, County Galway
EIKL|Kilkenny Airport|Kilkenny, County Kilkenny
EIKN|Knock International Airport|Knock, County Mayo
EIKY|Kerry Airport (Farranfore Airport)|Farranfore, County Kerry
EIME|Casement Aerodrome|Baldonnel
EIMG|Moneygall Aerodrome|Moneygall, County Offaly
EIMH|Athboy Airfield|Athboy, County Meath
EIMY|Moyne Aerodrome|Thurles, County Tipperary
EINN|Shannon Airport|Shannon, County Clare
EIRT|Rathcoole Aerodrome|Rathcoole (Ráth Chúil), County Cork (Contae Chorcaí)
EISG|Sligo Airport|Strandhill, near Sligo
EIWF|Waterford Airport|Waterford
EIWT|Weston Airport|Leixlip, County Kildare
EKAH|Aarhus Airport|Tirstrup near Aarhus
EKBI|Billund Airport|Billund
EKCH|Copenhagen Airport|Kastrup near Copenhagen
EKEB|Esbjerg Airport|Esbjerg
EKHG|Herning Airport|Herning
EKKA|Karup Airport|Karup
EKKS|Kongsted Flyveplads|Near Faxe
EKLV|Lemvig Airport|Lemvig
EKMB|Lolland Airport|Maribo
EKOD|Odense Airport|Odense
EKRD|Randers Airport|Randers
EKRK|Roskilde Airport|Tune near Roskilde
EKRN|Bornholm Airport|Rønne
EKSB|Sønderborg Airport|Sønderborg
EKSL|Slaglille Svæveflyvecenter|Midtsjælland
EKSN|Sindal Airport|Sindal
EKSP|Skrydstrup Airport|Vojens
EKSV|Skive Airport|Skive
EKTS|Thisted Airport|Thisted
EKVH|Vesthimmerland Airport|Aars
EKVJ|Stauning Vestjylland Airport|Skjern
EKYT|Aalborg Airport|Aalborg
EKVD|Vamdrup Airport|Kolding
EKVG|Vágar Airport|Faroe Islands
EKFA Froðba Heliport|Faroe Islands|
EKKV Klaksvík Heliport|Faroe Islands|
EKMS Mykines Heliport|Faroe Islands|
EKSY Skúvoy Heliport|Faroe Islands|
EKSR Stóra Dímun Heliport|Faroe Islands|
EKSO Svínoy Heliport|Faroe Islands|
EKTB Tórshavn/Bodanes Heliport|Faroe Islands|
ELEA|Centre Hospitalier Emile Mayrisch Heliport|Esch-sur-Alzette
ELET|Saint-Louis Hospital Heliport|Ettelbruck
ELLC|Centre Hospitalier de Luxembourg Heliport|Luxembourg City
ELLK|Kirchberg Hospital Heliport|Luxembourg City
ELLX|Luxembourg Findel Airport|Luxembourg City
ELLZ|Clinique Sainte-Thérèse Heliport|Luxembourg City
ELNT|Noertrange Airfield (Wiltz-Noertrange Airfield)|Noertrange/Wiltz
ELUS|Useldange Airfield|Useldange
ENAL|Ålesund Airport, Vigra|Ålesund, Møre og Romsdal
ENAN|Andøya Airport, Andenes|Andenes, Nordland
ENAS|Ny-Ålesund Airport, Hamnerabben|Ny-Ålesund, Svalbard
ENAT|Alta Airport|Alta, Finnmark
ENBJ|Bear Island (Bjørnøya), Arctic|
ENBL|Førde Airport, Bringeland|Førde, Sogn og Fjordane
ENBM|Voss Airport, Bømoen|Voss, Hordaland
ENBN|Brønnøysund Airport, Brønnøy|Brønnøysund, Nordland
ENBO|Bodø Airport|Bodø, Nordland
ENBR|Bergen Airport, Flesland|Bergen, Hordaland
ENBS|Båtsfjord Airport|Båtsfjord, Finnmark
ENBV|Berlevåg Airport|Berlevåg, Finnmark
ENCN|Kristiansand Airport, Kjevik|Kristiansand, Vest-Agder
ENDI|Geilo Airport, Dagali|Geilo, Buskerud
ENDR|Draugen|Draugen oil field, Norwegian Sea
ENDU|Bardufoss Airport|Bardufoss, Troms
ENEG|Hønefoss Airport, Eggemoen|Hønefoss, Buskerud
ENEN|Engeløy Airport, Grådussan|Engeløy, Nordland
ENEV|Harstad/Narvik Airport, Evenes|Evenes, Nordland / Troms
ENFB|Oslo Airport, Fornebu (closed)|Oslo, Akershus
ENFG|Fagernes Airport, Leirin|Fagernes, Oppland
ENFL|Florø Airport|Florø, Sogn og Fjordane
ENFR|Frigg|North Sea
ENGA|Gullfaks A|Gullfaks oil field, North Sea
ENGC|Gullfaks C|Gullfaks oil field, North Sea
ENGK|Arendal Executive/Gullknapp Airfield, Arendal, Aust-Agder|
ENGM|Oslo Airport, Gardermoen|Gardermoen (near Oslo), Akershus
ENHA|Hamar Airport, Stafsberg|Hamar, Hedmark
ENHD|Haugesund Airport, Karmøy|Haugesund, Rogaland
ENHE|Heidrun|Heidrun oil field, North Sea
ENHF|Hammerfest Airport|Hammerfest, Finnmark
ENHK|Hasvik Airport|Hasvik, Finnmark
ENHN|Elverum Airport, Starmoen|Elverum, Hedmark
ENHS|Hokksund Airport|Hokksund, Buskerud
ENHV|Honningsvåg Airport, Valan|Honningsvåg, Finnmark
ENJA|Jan Mayensfield|Jan Mayen
ENJB|Tønsberg Airport, Jarlsberg|Tønsberg, Vestfold
ENKB|Kristiansund Airport, Kvernberget|Kristiansund, Møre og Romsdal
ENKJ|Kjeller Airport|Kjeller, Akershus
ENKR|Kirkenes Airport, Høybuktmoen|Kirkenes, Finnmark
ENLI|Farsund Airport, Lista|Farsund, Vest-Agder
ENLK|Leknes Airport|Leknes, Nordland
ENMH|Mehamn Airport|Mehamn, Finnmark
ENML|Molde Airport, Årø|Molde, Møre og Romsdal
ENMS|Mosjøen Airport, Kjærstad|Mosjøen, Nordland
ENNA|Lakselv Airport, Banak|Lakselv, Finnmark
ENNK|Narvik Airport, Framnes|Narvik, Nordland
ENNM|Namsos Airport|Namsos, Nord-Trøndelag
ENNO|Notodden Airport|Notodden, Telemark
ENOA|Oseberg A|Oseberg oil field, North Sea
ENOL|Ørland Main Air Station|Sør-Trøndelag
ENOP|Oppdal Airport, Fagerhaug|Oppdal, Sør-Trøndelag
ENOV|Ørsta-Volda Airport, Hovden|Ørsta/Volda, Møre og Romsdal
ENRA|Mo i Rana Airport, Røssvoll|Mo i Rana, Nordland
ENRI|Ringebu Airport, Frya|Ringebu, Oppland
ENRK|Rakkestad Airport|Rakkestad, Østfold
ENRM|Rørvik Airport, Ryum|Rørvik, Nord-Trøndelag
ENRO|Røros Airport|Røros, Sør-Trøndelag
ENRS|Røst Airport|Røst, Nordland
ENRV|Reinsvoll Airport|Reinsvoll, Oppland
ENRY|Moss Airport, Rygge|Rygge, Østfold
ENSA|Svea Airport|Sveagruva, Svalbard
ENSB|Svalbard Airport, Longyear|Longyearbyen, Svalbard
ENSD|Sandane Airport, Anda|Sandane, Sogn og Fjordane
ENSG|Sogndal Airport, Haukåsen|Sogndal, Sogn og Fjordane
ENSH|Svolvær Airport, Helle|Svolvær, Nordland
ENSK|Stokmarknes Airport, Skagen|Stokmarknes, Nordland
ENSN|Skien Airport, Geiteryggen|Skien, Telemark
ENSO|Stord Airport, Sørstokken|Leirvik, Hordaland
ENSR|Sørkjosen Airport|Nordreisa, Troms
ENSS|Vardø Airport, Svartnes|Vardø, Finnmark
ENST|Sandnessjøen Airport, Stokka|Sandnessjøen, Nordland
ENSU|Sunndalsøra Airport, Vinnu|Sunndalsøra, Møre og Romsdal
ENTC|Tromsø Airport|Tromsø, Troms
ENTO|Sandefjord Airport, Torp|Sandefjord, Vestfold
ENUL|Vaksinen Airport|Ulven, Hordaland
ENUK|Gol Airport, Klanten|Gol, Buskerud
ENVA|Trondheim Airport, Værnes|Stjørdal, Nord-Trøndelag
ENVD|Vadsø Airport|Vadsø, Finnmark
ENVR|Værøy Heliport|Værøy, Nordland
ENZV|Stavanger Airport, Sola|Stavanger, Rogaland
EPBA|Bielsko-Biała Aleksandrowice Airport|Bielsko-Biała
EPBC|Warszawa-Babice Airport|Warsaw
EPBD|Bydgoszcz-Biedaszkowo Airport Bydgoszcz|
EPBK|Białystok-Krywlany Airport|Białystok
EPBY|Bydgoszcz Ignacy Jan Paderewski Airport|Bydgoszcz
EPEL|Elbląg Airport|Elbląg
EPGD|Gdańsk Lech Wałęsa Airport|Gdańsk
EPGI|Grudziądz-Lisie Kąty Airfield|Grudziądz
EPGL|Gliwice-Trynek Airfield|Gliwice
EPIN|Inowrocław Airfield|Inowrocław
EPIR|Inowrocław-Latkowo Air Base|Inowrocław
EPIW|Iwonicz Airfield|Pustyny
EPJG|Jelenia Góra Airfield|Jelenia Góra
EPJS|Jeżów Sudecki Airfield|Jeżów Sudecki
EPKA|Kielce-Masłów Airfield|Kielce
EPKE|Kętrzyn-Wilamowo Airfield|Kętrzyn
EPKG|Kołobrzeg-Bagicz Airport|Kołobrzeg
EPKK|John Paul II International Airport Kraków-Balice|Kraków
EPKM|Katowice-Muchowiec Airport|Katowice
